FID,OBJECTID,SHAPE,LINFO,HSTNR,HTXT,HBEM,EROEFFNUNG_JAHR,EROEFFNUNG_MONAT,SE_ANNO_CAD_DATA
UBAHNHALTOGD.195993,195993,POINT (16.32776477821712 48.18364499316398),4,,Meidling Hauptstraße,,1980,10,
UBAHNHALTOGD.195994,195994,POINT (16.36401162048291 48.22776723960448),4,,Friedensbrücke,,1976,5,
UBAHNHALTOGD.195995,195995,POINT (16.36581079439784 48.248451460447065),4,,Heiligenstadt,,1976,5,
UBAHNHALTOGD.195996,195996,POINT (16.334943316802555 48.18480151423323),6,,Längenfeldgasse,,1989,10,
UBAHNHALTOGD.195997,195997,POINT (16.30983753401893 48.13051520409918),6,,Siebenhirten,,1995,4,
UBAHNHALTOGD.195998,195998,POINT (16.368636832930342 48.23521713110054),6,,Jägerstraße,,1996,5,
UBAHNHALTOGD.195999,195999,POINT (16.316531068234443 48.141921600787924),6,,Erlaaer Straße,,1995,4,
UBAHNHALTOGD.196000,196000,POINT (16.40044253339755 48.25620473105275),6,,Floridsdorf,,1996,5,
UBAHNHALTOGD.196001,196001,POINT (16.508438129989 48.22625417891032),2,,Seestadt,,2013,10,
UBAHNHALTOGD.196002,196002,POINT (16.449662667515202 48.21981735909775),2,,Stadlau,,2010,10,
UBAHNHALTOGD.196003,196003,POINT (16.48577262697568 48.23340976850327),2,,Hausfeldstraße,,2013,10,
UBAHNHALTOGD.196004,196004,POINT (16.474871718755562 48.222523966126055),2,,Aspernstraße,,2010,10,
UBAHNHALTOGD.196005,196005,POINT (16.46661216109877 48.219419110545104),2,,Donauspital,,2010,10,
UBAHNHALTOGD.196006,196006,POINT (16.457749951315215 48.220896078368334),2,,Hardeggasse,,2010,10,
UBAHNHALTOGD.196007,196007,POINT (16.44012508990889 48.21176860347998),2,,Donaustadtbrücke,,2010,10,
UBAHNHALTOGD.196008,196008,POINT (16.50449379088435 48.23450791505335),2,,Aspern Nord,,2013,10,
UBAHNHALTOGD.196009,196009,POINT (16.431617486203894 48.206465026547114),2,,Donaumarina,,2010,10,
UBAHNHALTOGD.196010,196010,POINT (16.420255255579608 48.21067140288552),2,,Stadion,,2008,5,
UBAHNHALTOGD.196011,196011,POINT (16.413752066012034 48.2146862716321),2,,Krieau,,2008,5,
UBAHNHALTOGD.196012,196012,POINT (16.404963120853363 48.21779201067202),2,,Messe Prater,,2008,5,
UBAHNHALTOGD.196013,196013,POINT (16.452139552735247 48.27751786569251),1,,Leopoldau,,2006,9,
